th   par   nrr   aver
0  0.998667  0.396333  0.6975
0.001  0.998667  0.399333  0.699
0.002  0.998667  0.402  0.700333
0.003  0.998667  0.404667  0.701667
0.004  0.998667  0.408333  0.7035
0.005  0.998667  0.412  0.705333
0.006  0.998667  0.417  0.707833
0.007  0.998667  0.419667  0.709167
0.008  0.998667  0.422333  0.7105
0.009  0.998667  0.424667  0.711667
0.01  0.998667  0.428333  0.7135
0.011  0.998667  0.431  0.714833
0.012  0.998667  0.435333  0.717
0.013  0.998667  0.439333  0.719
0.014  0.998667  0.443333  0.721
0.015  0.998667  0.445667  0.722167
0.016  0.998667  0.448667  0.723667
0.017  0.998333  0.451667  0.725
0.018  0.998333  0.455  0.726667
0.019  0.998333  0.458333  0.728333
0.02  0.998333  0.461  0.729667
0.021  0.998333  0.463  0.730667
0.022  0.998333  0.466  0.732167
0.023  0.998333  0.469  0.733667
0.024  0.998333  0.471667  0.735
0.025  0.998333  0.476333  0.737333
0.026  0.998333  0.479  0.738667
0.027  0.998333  0.483333  0.740833
0.028  0.998333  0.486333  0.742333
0.029  0.998333  0.487667  0.743
0.03  0.998333  0.490333  0.744333
0.031  0.998333  0.493  0.745667
0.032  0.998333  0.498333  0.748333
0.033  0.998333  0.501667  0.75
0.034  0.998333  0.504333  0.751333
0.035  0.997667  0.505667  0.751667
0.036  0.997667  0.508  0.752833
0.037  0.997667  0.513333  0.7555
0.038  0.997667  0.517333  0.7575
0.039  0.997667  0.519333  0.7585
0.04  0.997667  0.523  0.760333
0.041  0.997667  0.526333  0.762
0.042  0.997667  0.528667  0.763167
0.043  0.997333  0.531333  0.764333
0.044  0.997333  0.533333  0.765333
0.045  0.997333  0.536  0.766667
0.046  0.997333  0.538  0.767667
0.047  0.997333  0.540667  0.769
0.048  0.997333  0.545  0.771167
0.049  0.997333  0.549  0.773167
0.05  0.997333  0.551667  0.7745
0.051  0.997333  0.553  0.775167
0.052  0.997333  0.556333  0.776833
0.053  0.997  0.559  0.778
0.054  0.997  0.56  0.7785
0.055  0.997  0.564333  0.780667
0.056  0.997  0.568  0.7825
0.057  0.997  0.571333  0.784167
0.058  0.997  0.575667  0.786333
0.059  0.997  0.578333  0.787667
0.06  0.997  0.581  0.789
0.061  0.997  0.584333  0.790667
0.062  0.997  0.586  0.7915
0.063  0.997  0.588667  0.792833
0.064  0.997  0.591  0.794
0.065  0.997  0.592667  0.794833
0.066  0.997  0.596667  0.796833
0.067  0.997  0.599667  0.798333
0.068  0.997  0.603333  0.800167
0.069  0.997  0.607667  0.802333
0.07  0.997  0.609333  0.803167
0.071  0.997  0.61  0.8035
0.072  0.997  0.611  0.804
0.073  0.997  0.613667  0.805333
0.074  0.997  0.617667  0.807333
0.075  0.997  0.619  0.808
0.076  0.997  0.622333  0.809667
0.077  0.997  0.626  0.8115
0.078  0.997  0.628667  0.812833
0.079  0.997  0.630667  0.813833
0.08  0.997  0.632667  0.814833
0.081  0.996667  0.635333  0.816
0.082  0.996667  0.636667  0.816667
0.083  0.996667  0.639333  0.818
0.084  0.996667  0.643333  0.82
0.085  0.996667  0.645667  0.821167
0.086  0.996667  0.649  0.822833
0.087  0.996667  0.651333  0.824
0.088  0.996333  0.652667  0.8245
0.089  0.996333  0.654333  0.825333
0.09  0.996333  0.657667  0.827
0.091  0.996333  0.66  0.828167
0.092  0.996  0.662333  0.829167
0.093  0.996  0.664333  0.830167
0.094  0.996  0.668333  0.832167
0.095  0.996  0.673  0.8345
0.096  0.996  0.674333  0.835167
0.097  0.996  0.676333  0.836167
0.098  0.996  0.679  0.8375
0.099  0.996  0.681667  0.838833
0.1  0.996  0.685333  0.840667
0.101  0.995667  0.686333  0.841
0.102  0.995667  0.687333  0.8415
0.103  0.995667  0.689333  0.8425
0.104  0.995333  0.693  0.844167
0.105  0.995333  0.695333  0.845333
0.106  0.995333  0.698  0.846667
0.107  0.995333  0.701667  0.8485
0.108  0.995333  0.703667  0.8495
0.109  0.995333  0.705  0.850167
0.11  0.995333  0.708333  0.851833
0.111  0.995333  0.71  0.852667
0.112  0.995333  0.712333  0.853833
0.113  0.995333  0.715333  0.855333
0.114  0.995333  0.717  0.856167
0.115  0.995333  0.720667  0.858
0.116  0.995333  0.723  0.859167
0.117  0.995333  0.725  0.860167
0.118  0.995333  0.727667  0.8615
0.119  0.995  0.73  0.8625
0.12  0.994667  0.731333  0.863
0.121  0.994667  0.733667  0.864167
0.122  0.994667  0.735667  0.865167
0.123  0.994333  0.739  0.866667
0.124  0.994333  0.741667  0.868
0.125  0.994333  0.743  0.868667
0.126  0.994333  0.745667  0.87
0.127  0.994333  0.748333  0.871333
0.128  0.994333  0.753  0.873667
0.129  0.994  0.755667  0.874833
0.13  0.994  0.757  0.8755
0.131  0.994  0.758333  0.876167
0.132  0.994  0.760667  0.877333
0.133  0.994  0.763  0.8785
0.134  0.994  0.766667  0.880333
0.135  0.994  0.767  0.8805
0.136  0.994  0.769333  0.881667
0.137  0.994  0.772667  0.883333
0.138  0.994  0.774333  0.884167
0.139  0.993667  0.776667  0.885167
0.14  0.993667  0.779  0.886333
0.141  0.993667  0.780667  0.887167
0.142  0.993333  0.782  0.887667
0.143  0.993333  0.783333  0.888333
0.144  0.993333  0.786  0.889667
0.145  0.993333  0.788  0.890667
0.146  0.993333  0.79  0.891667
0.147  0.993333  0.792  0.892667
0.148  0.993  0.794  0.8935
0.149  0.993  0.795  0.894
0.15  0.993  0.796  0.8945
0.151  0.993  0.798667  0.895833
0.152  0.993  0.800667  0.896833
0.153  0.993  0.801667  0.897333
0.154  0.993  0.804333  0.898667
0.155  0.992667  0.806  0.899333
0.156  0.992667  0.807333  0.9
0.157  0.992333  0.809333  0.900833
0.158  0.992333  0.811667  0.902
0.159  0.992333  0.814333  0.903333
0.16  0.992333  0.816333  0.904333
0.161  0.992333  0.818  0.905167
0.162  0.992  0.819667  0.905833
0.163  0.992  0.821333  0.906667
0.164  0.992  0.824667  0.908333
0.165  0.992  0.826667  0.909333
0.166  0.991667  0.828  0.909833
0.167  0.991667  0.830333  0.911
0.168  0.991667  0.832333  0.912
0.169  0.991333  0.834333  0.912833
0.17  0.991333  0.836333  0.913833
0.171  0.990667  0.838667  0.914667
0.172  0.990667  0.84  0.915333
0.173  0.990667  0.841667  0.916167
0.174  0.990667  0.843667  0.917167
0.175  0.990667  0.845667  0.918167
0.176  0.990667  0.849  0.919833
0.177  0.990667  0.850333  0.9205
0.178  0.990667  0.851  0.920833
0.179  0.990667  0.852333  0.9215
0.18  0.990667  0.853  0.921833
0.181  0.990667  0.856667  0.923667
0.182  0.99  0.858333  0.924167
0.183  0.99  0.859667  0.924833
0.184  0.989667  0.860667  0.925167
0.185  0.989667  0.862  0.925833
0.186  0.989667  0.863  0.926333
0.187  0.989333  0.864333  0.926833
