th   par   nrr   aver
0  0.998667  0.406333  0.7025
0.001  0.998667  0.411  0.704833
0.002  0.998667  0.413333  0.706
0.003  0.998667  0.415667  0.707167
0.004  0.998667  0.417333  0.708
0.005  0.998667  0.422  0.710333
0.006  0.998667  0.424  0.711333
0.007  0.998667  0.427  0.712833
0.008  0.998667  0.429667  0.714167
0.009  0.998667  0.433  0.715833
0.01  0.998667  0.436333  0.7175
0.011  0.998667  0.437667  0.718167
0.012  0.998667  0.441  0.719833
0.013  0.998667  0.443333  0.721
0.014  0.998667  0.447  0.722833
0.015  0.998667  0.449  0.723833
0.016  0.998667  0.453  0.725833
0.017  0.998667  0.455667  0.727167
0.018  0.998667  0.459333  0.729
0.019  0.998667  0.461667  0.730167
0.02  0.998667  0.463667  0.731167
0.021  0.998667  0.467  0.732833
0.022  0.998667  0.470667  0.734667
0.023  0.998667  0.474667  0.736667
0.024  0.998667  0.476333  0.7375
0.025  0.998333  0.478333  0.738333
0.026  0.998333  0.479667  0.739
0.027  0.998333  0.482  0.740167
0.028  0.998  0.486  0.742
0.029  0.998  0.491667  0.744833
0.03  0.998  0.495333  0.746667
0.031  0.998  0.499333  0.748667
0.032  0.998  0.501667  0.749833
0.033  0.998  0.505667  0.751833
0.034  0.998  0.509333  0.753667
0.035  0.998  0.513  0.7555
0.036  0.998  0.517333  0.757667
0.037  0.998  0.521333  0.759667
0.038  0.998  0.524333  0.761167
0.039  0.997667  0.527  0.762333
0.04  0.997333  0.528333  0.762833
0.041  0.997333  0.530667  0.764
0.042  0.997333  0.534  0.765667
0.043  0.997333  0.538  0.767667
0.044  0.997333  0.540333  0.768833
0.045  0.997333  0.543333  0.770333
0.046  0.997333  0.546667  0.772
0.047  0.997333  0.55  0.773667
0.048  0.997  0.551  0.774
0.049  0.997  0.554  0.7755
0.05  0.997  0.557  0.777
0.051  0.997  0.56  0.7785
0.052  0.997  0.564  0.7805
0.053  0.997  0.568  0.7825
0.054  0.997  0.571333  0.784167
0.055  0.997  0.573333  0.785167
0.056  0.997  0.578667  0.787833
0.057  0.997  0.581333  0.789167
0.058  0.997  0.584  0.7905
0.059  0.997  0.587333  0.792167
0.06  0.997  0.590333  0.793667
0.061  0.997  0.593333  0.795167
0.062  0.997  0.596333  0.796667
0.063  0.997  0.6  0.7985
0.064  0.997  0.602  0.7995
0.065  0.997  0.604  0.8005
0.066  0.997  0.606333  0.801667
0.067  0.997  0.609333  0.803167
0.068  0.997  0.613667  0.805333
0.069  0.997  0.615333  0.806167
0.07  0.997  0.618  0.8075
0.071  0.997  0.620333  0.808667
0.072  0.997  0.623667  0.810333
0.073  0.997  0.627333  0.812167
0.074  0.997  0.63  0.8135
0.075  0.997  0.632  0.8145
0.076  0.997  0.636333  0.816667
0.077  0.997  0.637667  0.817333
0.078  0.997  0.641  0.819
0.079  0.997  0.642667  0.819833
0.08  0.997  0.644333  0.820667
0.081  0.997  0.646667  0.821833
0.082  0.997  0.647667  0.822333
0.083  0.997  0.651333  0.824167
0.084  0.997  0.653333  0.825167
0.085  0.997  0.656667  0.826833
0.086  0.997  0.659  0.828
0.087  0.997  0.661333  0.829167
0.088  0.997  0.664333  0.830667
0.089  0.997  0.666667  0.831833
0.09  0.996667  0.672  0.834333
0.091  0.996667  0.675333  0.836
0.092  0.996667  0.679  0.837833
0.093  0.996667  0.682333  0.8395
0.094  0.996667  0.684  0.840333
0.095  0.996333  0.687  0.841667
0.096  0.996333  0.689667  0.843
0.097  0.996  0.691667  0.843833
0.098  0.996  0.695333  0.845667
0.099  0.996  0.698667  0.847333
0.1  0.996  0.702  0.849
0.101  0.996  0.704333  0.850167
0.102  0.996  0.706333  0.851167
0.103  0.996  0.709  0.8525
0.104  0.996  0.711667  0.853833
0.105  0.996  0.714667  0.855333
0.106  0.995667  0.717  0.856333
0.107  0.995667  0.718667  0.857167
0.108  0.995667  0.720667  0.858167
0.109  0.995667  0.723667  0.859667
0.11  0.995667  0.726333  0.861
0.111  0.995667  0.728  0.861833
0.112  0.995667  0.729333  0.8625
0.113  0.995667  0.733  0.864333
0.114  0.995667  0.734667  0.865167
0.115  0.995667  0.738333  0.867
0.116  0.995667  0.74  0.867833
