th   par   nrr   aver
0.175  0.992  0.856667  0.924333
0.176  0.992  0.857333  0.924667
0.177  0.992  0.860333  0.926167
0.178  0.992  0.861667  0.926833
0.179  0.992  0.864  0.928
0.18  0.992  0.865  0.9285
0.181  0.992  0.865667  0.928833
0.182  0.991333  0.866667  0.929
0.183  0.991  0.868333  0.929667
0.184  0.990667  0.869333  0.93
0.185  0.990667  0.870333  0.9305
0.186  0.990333  0.872  0.931167
0.187  0.990333  0.874  0.932167
0.188  0.99  0.875333  0.932667
0.189  0.99  0.877333  0.933667
0.19  0.99  0.878333  0.934167
0.191  0.99  0.879  0.9345
0.192  0.99  0.88  0.935
0.193  0.99  0.882  0.936
0.194  0.989667  0.883667  0.936667
0.195  0.989667  0.884667  0.937167
0.196  0.989667  0.887  0.938333
0.197  0.989333  0.888667  0.939
0.198  0.989333  0.891333  0.940333
0.199  0.989  0.892  0.9405
0.2  0.989  0.893667  0.941333
0.201  0.988667  0.894667  0.941667
0.202  0.988333  0.896667  0.9425
0.203  0.988333  0.898333  0.943333
0.204  0.988333  0.899333  0.943833
0.205  0.988333  0.901333  0.944833
0.206  0.988333  0.903  0.945667
0.207  0.988333  0.904  0.946167
0.208  0.988  0.905333  0.946667
0.209  0.988  0.905667  0.946833
0.21  0.988  0.906667  0.947333
0.211  0.988  0.907  0.9475
0.212  0.988  0.908  0.948
0.213  0.988  0.909333  0.948667
0.214  0.987667  0.911  0.949333
0.215  0.987667  0.912667  0.950167
0.216  0.987333  0.913667  0.9505
0.217  0.987  0.914667  0.950833
0.218  0.987  0.915333  0.951167
0.219  0.987  0.916333  0.951667
0.22  0.987  0.917  0.952
0.221  0.986667  0.918  0.952333
0.222  0.986667  0.919  0.952833
0.223  0.986667  0.919333  0.953
0.224  0.986333  0.919667  0.953
0.225  0.986333  0.920667  0.9535
0.226  0.986333  0.921333  0.953833
0.227  0.986  0.922667  0.954333
0.228  0.986  0.924  0.955
0.229  0.986  0.926  0.956
0.23  0.986  0.926667  0.956333
0.231  0.986  0.927333  0.956667
0.232  0.986  0.928667  0.957333
0.233  0.986  0.93  0.958
0.234  0.985667  0.930667  0.958167
0.235  0.985667  0.931  0.958333
0.236  0.985667  0.931667  0.958667
0.237  0.985  0.932333  0.958667
0.238  0.985  0.933  0.959
0.239  0.984667  0.934333  0.9595
0.24  0.984  0.935  0.9595
0.241  0.983667  0.936  0.959833
0.242  0.983667  0.936333  0.96
0.243  0.983667  0.937667  0.960667
0.244  0.983667  0.938333  0.961
0.245  0.983333  0.938667  0.961
0.246  0.982667  0.94  0.961333
0.247  0.982667  0.940333  0.9615
0.248  0.982333  0.941  0.961667
0.249  0.982  0.942667  0.962333
0.25  0.981  0.943333  0.962167
0.251  0.981  0.944  0.9625
0.252  0.980333  0.944  0.962167
0.253  0.98  0.944667  0.962333
0.254  0.979667  0.945333  0.9625
0.255  0.979667  0.945333  0.9625
0.256  0.979333  0.945667  0.9625
0.257  0.979333  0.945667  0.9625
0.258  0.978667  0.946  0.962333
0.259  0.978667  0.946667  0.962667
0.26  0.978667  0.946667  0.962667
0.261  0.978333  0.947333  0.962833
0.262  0.978  0.948  0.963
0.263  0.977333  0.948333  0.962833
0.264  0.977  0.95  0.9635
0.265  0.976667  0.951  0.963833
0.266  0.976333  0.952  0.964167
0.267  0.976333  0.952667  0.9645
0.268  0.976  0.953  0.9645
0.269  0.975667  0.954333  0.965
0.27  0.975667  0.954667  0.965167
0.271  0.975333  0.955333  0.965333
0.272  0.975333  0.956333  0.965833
0.273  0.975333  0.956667  0.966
0.274  0.975333  0.956667  0.966
0.275  0.975333  0.957667  0.9665
0.276  0.975333  0.958667  0.967
0.277  0.975  0.959333  0.967167
0.278  0.974667  0.959333  0.967
