th   par   nrr   aver
0  0.998  0.345667  0.671833
0.001  0.998  0.346333  0.672167
0.002  0.998  0.348667  0.673333
0.003  0.998  0.349667  0.673833
0.004  0.998  0.351667  0.674833
0.005  0.998  0.354667  0.676333
0.006  0.998  0.359667  0.678833
0.007  0.998  0.363667  0.680833
0.008  0.998  0.367333  0.682667
0.009  0.998  0.369  0.6835
0.01  0.998  0.373  0.6855
0.011  0.998  0.374667  0.686333
0.012  0.998  0.376  0.687
0.013  0.997667  0.379  0.688333
0.014  0.997667  0.382667  0.690167
0.015  0.997667  0.385333  0.6915
0.016  0.997667  0.388333  0.693
0.017  0.997667  0.392  0.694833
0.018  0.997667  0.394333  0.696
0.019  0.997667  0.396  0.696833
0.02  0.997667  0.398  0.697833
0.021  0.997667  0.400667  0.699167
0.022  0.997333  0.403  0.700167
0.023  0.997333  0.405333  0.701333
0.024  0.997  0.409  0.703
0.025  0.997  0.414  0.7055
0.026  0.996667  0.417  0.706833
0.027  0.996667  0.420333  0.7085
0.028  0.996667  0.424333  0.7105
0.029  0.996333  0.428  0.712167
0.03  0.996333  0.431333  0.713833
0.031  0.996333  0.435  0.715667
0.032  0.996333  0.437333  0.716833
0.033  0.996333  0.44  0.718167
0.034  0.996  0.443333  0.719667
0.035  0.996  0.445667  0.720833
0.036  0.996  0.450333  0.723167
0.037  0.996  0.455333  0.725667
0.038  0.996  0.459667  0.727833
0.039  0.996  0.462  0.729
0.04  0.996  0.464667  0.730333
0.041  0.996  0.466333  0.731167
0.042  0.995667  0.469333  0.7325
0.043  0.995667  0.472333  0.734
0.044  0.995333  0.473333  0.734333
0.045  0.995333  0.475333  0.735333
0.046  0.995333  0.477333  0.736333
0.047  0.995333  0.479667  0.7375
0.048  0.995333  0.481333  0.738333
0.049  0.995333  0.484667  0.74
0.05  0.995333  0.486333  0.740833
0.051  0.995333  0.490667  0.743
0.052  0.995333  0.493333  0.744333
0.053  0.995333  0.496  0.745667
0.054  0.995333  0.499667  0.7475
0.055  0.995333  0.501  0.748167
0.056  0.995333  0.501667  0.7485
0.057  0.995  0.504667  0.749833
0.058  0.995  0.508  0.7515
0.059  0.995  0.51  0.7525
0.06  0.995  0.512333  0.753667
0.061  0.995  0.515  0.755
0.062  0.995  0.518333  0.756667
0.063  0.995  0.520333  0.757667
0.064  0.995  0.523667  0.759333
0.065  0.995  0.527333  0.761167
0.066  0.995  0.531  0.763
0.067  0.995  0.533333  0.764167
0.068  0.995  0.535667  0.765333
0.069  0.995  0.539  0.767
0.07  0.995  0.541333  0.768167
0.071  0.995  0.546333  0.770667
0.072  0.994667  0.547667  0.771167
0.073  0.994667  0.551667  0.773167
0.074  0.994667  0.554667  0.774667
0.075  0.994667  0.556667  0.775667
0.076  0.994667  0.559  0.776833
0.077  0.994667  0.561333  0.778
0.078  0.994667  0.563667  0.779167
0.079  0.994667  0.567667  0.781167
0.08  0.994667  0.57  0.782333
0.081  0.994667  0.572667  0.783667
0.082  0.994667  0.575  0.784833
