th   par   nrr   aver
0  0.998667  0.411  0.704833
0.001  0.998333  0.414667  0.7065
0.002  0.998333  0.416333  0.707333
0.003  0.998333  0.418667  0.7085
0.004  0.998333  0.423333  0.710833
0.005  0.998333  0.424667  0.7115
0.006  0.998333  0.426333  0.712333
0.007  0.998333  0.431  0.714667
0.008  0.998333  0.435  0.716667
0.009  0.998333  0.438333  0.718333
0.01  0.998333  0.443333  0.720833
0.011  0.998333  0.446333  0.722333
0.012  0.998  0.448  0.723
0.013  0.998  0.449  0.7235
0.014  0.998  0.452  0.725
0.015  0.998  0.454333  0.726167
0.016  0.998  0.457667  0.727833
0.017  0.998  0.462  0.73
0.018  0.998  0.465  0.7315
0.019  0.998  0.469667  0.733833
0.02  0.998  0.471667  0.734833
0.021  0.998  0.473667  0.735833
0.022  0.998  0.478333  0.738167
0.023  0.998  0.481333  0.739667
0.024  0.998  0.484333  0.741167
0.025  0.998  0.487667  0.742833
0.026  0.998  0.490333  0.744167
0.027  0.998  0.492333  0.745167
0.028  0.998  0.495  0.7465
0.029  0.998  0.497667  0.747833
0.03  0.998  0.501333  0.749667
0.031  0.998  0.502667  0.750333
0.032  0.998  0.504667  0.751333
0.033  0.998  0.507333  0.752667
0.034  0.998  0.509333  0.753667
0.035  0.998  0.515  0.7565
0.036  0.998  0.518667  0.758333
0.037  0.998  0.521  0.7595
0.038  0.998  0.524  0.761
0.039  0.998  0.528  0.763
0.04  0.998  0.529667  0.763833
0.041  0.998  0.532667  0.765333
0.042  0.998  0.536333  0.767167
0.043  0.998  0.541  0.7695
0.044  0.998  0.543333  0.770667
0.045  0.998  0.547667  0.772833
0.046  0.998  0.552333  0.775167
0.047  0.997667  0.555667  0.776667
0.048  0.997667  0.558667  0.778167
0.049  0.997333  0.563333  0.780333
0.05  0.997333  0.566333  0.781833
0.051  0.997333  0.568  0.782667
0.052  0.997333  0.571333  0.784333
0.053  0.997333  0.574333  0.785833
0.054  0.997333  0.576333  0.786833
0.055  0.997333  0.579667  0.7885
0.056  0.997  0.582  0.7895
0.057  0.997  0.584333  0.790667
0.058  0.997  0.586667  0.791833
0.059  0.997  0.589333  0.793167
0.06  0.997  0.590333  0.793667
0.061  0.997  0.594333  0.795667
0.062  0.997  0.598333  0.797667
0.063  0.997  0.6  0.7985
0.064  0.997  0.603667  0.800333
0.065  0.997  0.605  0.801
0.066  0.997  0.608  0.8025
0.067  0.997  0.610333  0.803667
0.068  0.997  0.615  0.806
0.069  0.997  0.617333  0.807167
0.07  0.997  0.621  0.809
0.071  0.997  0.623  0.81
0.072  0.997  0.625333  0.811167
0.073  0.997  0.627  0.812
0.074  0.997  0.628333  0.812667
0.075  0.997  0.631  0.814
0.076  0.997  0.633667  0.815333
0.077  0.997  0.635667  0.816333
0.078  0.997  0.639333  0.818167
0.079  0.997  0.641667  0.819333
0.08  0.997  0.644  0.8205
0.081  0.997  0.645667  0.821333
0.082  0.997  0.648  0.8225
0.083  0.997  0.652667  0.824833
0.084  0.997  0.656  0.8265
0.085  0.997  0.660333  0.828667
0.086  0.997  0.662  0.8295
0.087  0.997  0.664  0.8305
0.088  0.997  0.666667  0.831833
0.089  0.997  0.668667  0.832833
0.09  0.997  0.671333  0.834167
0.091  0.997  0.673667  0.835333
0.092  0.997  0.675667  0.836333
0.093  0.996667  0.678667  0.837667
0.094  0.996667  0.682  0.839333
0.095  0.996667  0.684  0.840333
0.096  0.996667  0.686333  0.8415
0.097  0.996667  0.688667  0.842667
0.098  0.996333  0.692  0.844167
0.099  0.996333  0.693333  0.844833
0.1  0.996333  0.696667  0.8465
0.101  0.996333  0.700667  0.8485
0.102  0.996333  0.702667  0.8495
0.103  0.996333  0.705333  0.850833
0.104  0.996333  0.707333  0.851833
0.105  0.996333  0.709333  0.852833
0.106  0.996333  0.710667  0.8535
0.107  0.996333  0.713  0.854667
0.108  0.996333  0.715333  0.855833
0.109  0.996333  0.717  0.856667
0.11  0.996  0.718667  0.857333
0.111  0.996  0.722333  0.859167
0.112  0.996  0.725333  0.860667
0.113  0.996  0.727667  0.861833
0.114  0.996  0.731  0.8635
0.115  0.996  0.735333  0.865667
0.116  0.996  0.737667  0.866833
0.117  0.996  0.741  0.8685
0.118  0.996  0.742667  0.869333
0.119  0.996  0.746  0.871
0.12  0.996  0.749  0.8725
0.121  0.996  0.750333  0.873167
0.122  0.996  0.751667  0.873833
0.123  0.996  0.754  0.875
0.124  0.996  0.756667  0.876333
